登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-06-22,2022/06/23,9064,ヤマトホールディングス,2120,-60.5,13.5,1.30,なし
2022-06-22,2022/06/23,2875,東洋水産,5090,133.3,19.3,1.46,3月末日
2022-06-22,2022/06/23,2871,ニチレイ,2268,-27.5,13.9,1.39,なし
2022-06-22,2022/06/23,7270,ＳＵＢＡＲＵ,2601.5,99.2,14.3,1.06,なし
2022-06-22,2022/06/23,4578,大塚ホールディングス,4495,-1.0,16.7,1.18,12月末日
2022-06-22,2022/06/23,2651,ローソン,4365,-107.7,19.9,1.60,なし
2022-06-22,2022/06/23,3391,ツルハホールディングス,6930,-54.8,14.9,1.30,5月15日
2022-06-22,2022/06/23,4502,武田薬品工業,3695.0,-30.0,19.5,1.00,なし
2022-06-22,2022/06/23,8801,三井不動産,2956.0,44.8,14.8,1.00,なし
2022-06-22,2022/06/23,8802,三菱地所,2011.5,29.0,16.1,1.33,なし
2022-06-22,2022/06/23,8304,あおぞら銀行,2708,14.4,8.8,0.64,なし
2022-06-22,2022/06/23,0000,日経平均株価,26149.55,0,0,0,なし
