登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-04-28,2022-04-30,7649,スギホールディングス,5580,-178.7,19.2,1.61,2月末日
2022-04-28,2022-04-30,3231,野村不ＨＤ,3155,23.1,9.8,0.91,なし
2022-04-28,2022-04-30,5214,日本電気硝子,2623,-29.0,8.1,0.48,なし
2022-04-28,2022-04-30,7912,大日本印刷,2719,-73.6,10.5,0.67,なし
2022-04-28,2022-04-30,8630,ＳＯＭＰＯ,5285,-51.5,10.2,0.87,なし
2022-04-28,2022-04-30,6586,マキタ,3871.0,-76.0,17.8,1.41,3月末日
2022-04-28,2022-04-30,6504,富士電機,5750,-103.7,13.9,1.74,6月末日
2022-04-28,2022-04-30,6971,京セラ,6863,21.5,16.0,0.86,3月末日・9月末日
2022-04-28,2022-04-30,2875,東洋水産,4005,-160.1,16.4,1.19,3月末日
2022-04-28,2022-04-30,2229,カルビー,2325,-40.7,17.2,1.71,なし
2022-04-28,2022-04-30,4091,日本酸素ＨＤ,2337,-24.7,15.1,1.77,なし
2022-04-28,2022-04-30,7911,凸版印刷,2152,-27.1,6.3,0.51,3月末日
2022-04-28,2022-04-30,6432,竹内製作所,2381,-79.5,12.0,1.09,なし
2022-04-28,2022-04-30,6448,ブラザー工業,2264,-1.7,10.1,1.10,なし
2022-04-28,2022-04-30,1801,大成建設,3525,-47.0,11.2,0.86,3月末日
2022-04-28,2022-04-30,4578,大塚ホールディングス,4363,10.6,16.2,1.18,12月末日
2022-04-28,2022-04-30,8725,ＭＳ＆ＡＤ,3881,-52.8,9.2,0.64,なし
2022-04-28,2022-04-30,7203,トヨタ自動車,2235.5,19.3,12.4,1.24,なし
2022-04-28,2022-04-30,0000,日経平均株価,26847.90,0,0,0,なし
