登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-07-21,2022/07/22,8316,三井住友ＦＧ,4103,10.7,7.7,0.46,なし
2022-07-21,2022/07/22,7270,ＳＵＢＡＲＵ,2402.0,-41.8,13.2,0.97,なし
2022-07-21,2022/07/22,8303,新生銀行,2009,0.7,11.7,0.45,なし
2022-07-21,2022/07/22,9432,日本電信電話,3906,-3.8,11.6,1.67,3月末日
2022-07-21,2022/07/22,9301,三菱倉庫,3430,39.4,12.9,0.80,なし
2022-07-21,2022/07/22,8830,住友不動産,3571.0,-29.7,10.6,1.04,なし
2022-07-21,2022/07/22,9001,東武鉄道,3075,1.2,35.6,1.42,3月末日・9月末日
2022-07-21,2022/07/22,2914,ＪＴ,2397.0,-10.2,11.9,1.46,12月末日
2022-07-21,2022/07/22,9042,阪急阪神,3720,11.1,25.6,1.03,3月末日・9月末日
2022-07-21,2022/07/22,7912,大日本印刷,2921,-18.3,11.7,0.72,なし
2022-07-21,2022/07/22,9989,サンドラッグ,3155,47.7,15.2,1.67,3月末日
2022-07-21,2022/07/22,0000,日経平均株価,27803.00,0,0,0,なし
