登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-06-01,2022/06/02,2651,ローソン,4635,-68.9,21.1,1.70,なし
2022-06-01,2022/06/02,7011,三菱重工業,5150,153.3,14.4,1.10,なし
2022-06-01,2022/06/02,3382,セブン＆アイ,5483,-98.6,20.2,1.62,なし
2022-06-01,2022/06/02,4208,ＵＢＥ,2035,1.7,9.4,0.53,なし
2022-06-01,2022/06/02,6479,ミネベアミツミ,2444,-36.2,13.1,1.84,なし
2022-06-01,2022/06/02,6674,ＧＳユアサ,2145,-34.7,14.4,0.80,なし
2022-06-01,2022/06/02,2282,日本ハム,3980,-40.1,12.3,0.85,3月末日・9月末日
2022-06-01,2022/06/02,7267,ホンダ,3324.0,-44.1,8.0,0.54,3月末日・6月末日
2022-06-01,2022/06/02,8309,三井住友トラ,3977,-29.7,7.8,0.55,なし
2022-06-01,2022/06/02,8354,ふくおかＦＧ,2300,-35.3,7.7,0.46,3月末日
2022-06-01,2022/06/02,9042,阪急阪神,3525,-7.0,24.3,0.98,3月末日・9月末日
2022-06-01,2022/06/02,9008,京王電鉄,4335,-163.3,82.7,1.55,3月末日・9月末日
2022-06-01,2022/06/02,0000,日経平均株価,27457.89,0,0,0,なし
