5,19,4,2,3,3,6,6,13,5,2,5,2,3,2,2,2,5,6,12,6,7,6,13,3,2,4,6,7,2,12,5
登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日,1営業日日付,1営業日株価,3営業日日付,3営業日株価,5営業日日付,5営業日株価
2022-05-31,2022/06/01,2331,綜合警備保障,3565,-20.4,12.1,1.20,なし,22/06/01,3640,22/06/03,3510,22/06/07,3550
2022-05-31,2022/06/01,3116,トヨタ紡織,2087,33.9,7.5,1.01,なし,22/06/01,2163,22/06/03,2143,22/06/07,2180
2022-05-31,2022/06/01,5019,出光興産,3500,11.0,6.3,0.74,なし,22/06/01,3545,22/06/03,3605,22/06/07,3865
2022-05-31,2022/06/01,6361,荏原製作所,5550,-160.9,11.1,1.61,なし,22/06/01,5570,22/06/03,5680,22/06/07,5720
2022-05-31,2022/06/01,7270,ＳＵＢＡＲＵ,2227.5,59.0,12.2,0.90,なし,22/06/01,2344.5,22/06/03,2351.0,22/06/07,2438.0
2022-05-31,2022/06/01,0000,日経平均株価,27279.80,0,0,0,なし,22/06/01,27457.89,22/06/03,27761.57,22/06/07,27943.95
2022-06-01,2022/06/02,2651,ローソン,4635,-68.9,21.1,1.70,なし,22/06/02,3935,22/06/06,3995,22/06/08,4090
2022-06-01,2022/06/02,7011,三菱重工業,5150,153.3,14.4,1.10,なし,22/06/02,4580,22/06/06,4440,22/06/08,4435
2022-06-01,2022/06/02,3382,セブン＆アイ,5483,-98.6,20.2,1.62,なし,22/06/02,5401,22/06/06,5435,22/06/08,5585
2022-06-01,2022/06/02,4208,ＵＢＥ,2035,1.7,9.4,0.53,なし,22/06/02,2033,22/06/06,2049,22/06/08,2082
2022-06-01,2022/06/02,6479,ミネベアミツミ,2444,-36.2,13.1,1.84,なし,22/06/02,2463,22/06/06,2461,22/06/08,2536
2022-06-01,2022/06/02,6674,ＧＳユアサ,2145,-34.7,14.4,0.80,なし,22/06/02,2138,22/06/06,2181,22/06/08,2246
2022-06-01,2022/06/02,2282,日本ハム,3980,-40.1,12.3,0.85,3月末日・9月末日,22/06/02,5188,22/06/06,5338,22/06/08,5603
2022-06-01,2022/06/02,7267,ホンダ,3324.0,-44.1,8.0,0.54,3月末日・6月末日,22/06/02,3332.0,22/06/06,3299.0,22/06/08,3394.0
2022-06-01,2022/06/02,8309,三井住友トラ,3977,-29.7,7.8,0.55,なし,22/06/02,4007,22/06/06,4017,22/06/08,3999
2022-06-01,2022/06/02,8354,ふくおかＦＧ,2300,-35.3,7.7,0.46,3月末日,22/06/02,2336,22/06/06,2340,22/06/08,2356
2022-06-01,2022/06/02,9042,阪急阪神,3525,-7.0,24.3,0.98,3月末日・9月末日,22/06/02,4355,22/06/06,4570,22/06/08,4615
2022-06-01,2022/06/02,9008,京王電鉄,4335,-163.3,82.7,1.55,3月末日・9月末日,22/06/02,3500,22/06/06,3570,22/06/08,3655
2022-06-01,2022/06/02,0000,日経平均株価,27457.89,0,0,0,なし,22/06/02,27413.88,22/06/06,27915.89,22/06/08,28234.29
2022-06-03,2022/06/06,2871,ニチレイ,2311,-9.3,14.1,1.42,なし,22/06/06,2307,22/06/08,2313,22/06/10,2262
2022-06-03,2022/06/06,4324,電通グループ,4415,-130.8,12.8,1.36,なし,22/06/06,4275,22/06/08,4355,22/06/10,4375
2022-06-03,2022/06/06,9001,東武鉄道,2948,-16.8,34.2,1.36,3月末日・9月末日,22/06/06,3930,22/06/08,4055,22/06/10,4005
2022-06-03,2022/06/06,5021,コスモＨＤ,3670,60.8,3.3,0.67,なし,22/06/06,3020,22/06/08,3075,22/06/10,3055
2022-06-03,2022/06/06,0000,日経平均株価,27761.57,0,0,0,なし,22/06/06,27915.89,22/06/08,28234.29,22/06/10,27824.29
2022-06-06,2022/06/07,4061,デンカ,3265,-34.0,9.7,0.98,なし,22/06/07,3310,22/06/09,3320,22/06/13,3300
2022-06-06,2022/06/07,0000,日経平均株価,27915.89,0,0,0,なし,22/06/07,27943.95,22/06/09,28246.53,22/06/13,26987.44
2022-06-07,2022/06/08,5334,日本特殊陶業,2577,106.4,7.5,1.02,なし,22/06/08,3270,22/06/10,3455,22/06/14,3455
2022-06-07,2022/06/08,6701,ＮＥＣ,5340,6.6,12.7,0.96,なし,22/06/08,2620,22/06/10,2647,22/06/14,2617
2022-06-07,2022/06/08,6586,マキタ,3558.0,-76.7,16.4,1.29,3月末日,22/06/08,3692.0,22/06/10,3613.0,22/06/14,3515.0
2022-06-07,2022/06/08,5232,住友大阪セメント,3275,-133.9,16.5,0.56,なし,22/06/08,5300,22/06/10,5260,22/06/14,5080
2022-06-07,2022/06/08,0000,日経平均株価,27943.95,0,0,0,なし,22/06/08,28234.29,22/06/10,27824.29,22/06/14,26629.86
2022-06-08,2022/06/09,9513,Ｊパワー,2230,50.5,6.1,0.45,なし,22/06/09,2179,22/06/13,2144,22/06/15,2059
2022-06-08,2022/06/09,0000,日経平均株価,28234.29,0,0,0,なし,22/06/09,28246.53,22/06/13,26987.44,22/06/15,26326.16
2022-06-09,2022/06/10,9532,大阪ガス,2587,57.0,13.1,0.85,なし,22/06/10,3375,22/06/14,3255,22/06/16,3265
2022-06-09,2022/06/10,3231,野村不ＨＤ,3365,57.6,10.5,0.97,なし,22/06/10,2583,22/06/14,2550,22/06/16,2436
2022-06-09,2022/06/10,0000,日経平均株価,28246.53,0,0,0,なし,22/06/10,27824.29,22/06/14,26629.86,22/06/16,26431.20
2022-06-10,2022/06/13,9531,東京ガス,2714,50.5,12.9,0.97,なし,22/06/13,2730,22/06/15,2615,22/06/17,2701
2022-06-10,2022/06/13,0000,日経平均株価,27824.29,0,0,0,なし,22/06/13,26987.44,22/06/15,26326.16,22/06/17,25963.00
2022-06-13,2022/06/14,4578,大塚ホールディングス,4457,18.5,16.6,1.17,12月末日,22/06/14,4383,22/06/16,4360,22/06/20,4407
2022-06-13,2022/06/14,0000,日経平均株価,26987.44,0,0,0,なし,22/06/14,26629.86,22/06/16,26431.20,22/06/20,25771.22
2022-06-16,2022/06/17,2502,アサヒ,4350,-63.6,15.0,1.13,12月末日,22/06/17,4353,22/06/21,4354,22/06/23,4512
2022-06-16,2022/06/17,0000,日経平均株価,26431.20,0,0,0,なし,22/06/17,25963.00,22/06/21,26246.31,22/06/23,26171.25
2022-06-18,2022/06/20,2269,明治ホールディングス,6450,-69.1,14.5,1.35,3月末日,22/06/20,2450,22/06/22,2529,22/06/24,2723
2022-06-18,2022/06/20,2229,カルビー,2466,4.0,20.5,1.82,なし,22/06/20,4445,22/06/22,4540,22/06/24,4745
2022-06-18,2022/06/20,9142,ＪＲ九州,2734,17.8,17.5,1.11,3月末日,22/06/20,6390,22/06/22,6490,22/06/24,6610
2022-06-18,2022/06/20,2264,森永乳業,4550,-115.4,13.0,1.00,9月末日,22/06/20,2675,22/06/22,2736,22/06/24,2763
2022-06-18,2022/06/20,0000,日経平均株価,25963.00,0,0,0,なし,22/06/20,25771.22,22/06/22,26149.55,22/06/24,26491.97
2022-06-21,2022/06/22,7912,大日本印刷,2987,15.3,12.0,0.73,なし,22/06/22,4409,22/06/24,4524,22/06/28,4552
2022-06-21,2022/06/22,9042,阪急阪神,3645,25.4,25.1,1.01,3月末日・9月末日,22/06/22,2997,22/06/24,2904,22/06/28,2981
2022-06-21,2022/06/22,8316,三井住友ＦＧ,4052,26.1,7.6,0.46,なし,22/06/22,4051,22/06/24,4109,22/06/28,4124
2022-06-21,2022/06/22,9001,東武鉄道,3025,14.0,35.1,1.39,3月末日・9月末日,22/06/22,3040,22/06/24,3030,22/06/28,3075
2022-06-21,2022/06/22,2502,アサヒ,4354,-49.6,15.1,1.13,12月末日,22/06/22,3670,22/06/24,3675,22/06/28,3705
2022-06-21,2022/06/22,0000,日経平均株価,26246.31,0,0,0,なし,22/06/22,26149.55,22/06/24,26491.97,22/06/28,27049.47
2022-06-22,2022/06/23,9064,ヤマトホールディングス,2120,-60.5,13.5,1.30,なし,22/06/23,4425,22/06/27,4505,22/06/29,4525
2022-06-22,2022/06/23,2875,東洋水産,5090,133.3,19.3,1.46,3月末日,22/06/23,2292,22/06/27,2289,22/06/29,2341
2022-06-22,2022/06/23,2871,ニチレイ,2268,-27.5,13.9,1.39,なし,22/06/23,5110,22/06/27,5200,22/06/29,5300
2022-06-22,2022/06/23,7270,ＳＵＢＡＲＵ,2601.5,99.2,14.3,1.06,なし,22/06/23,7260,22/06/27,7450,22/06/29,7400
2022-06-22,2022/06/23,4578,大塚ホールディングス,4495,-1.0,16.7,1.18,12月末日,22/06/23,3705,22/06/27,3776,22/06/29,3799
2022-06-22,2022/06/23,2651,ローソン,4365,-107.7,19.9,1.60,なし,22/06/23,4525,22/06/27,4797,22/06/29,4805
2022-06-22,2022/06/23,3391,ツルハホールディングス,6930,-54.8,14.9,1.30,5月15日,22/06/23,2523.0,22/06/27,2445.5,22/06/29,2447.0
2022-06-22,2022/06/23,4502,武田薬品工業,3695.0,-30.0,19.5,1.00,なし,22/06/23,2729,22/06/27,2708,22/06/29,2673
2022-06-22,2022/06/23,8801,三井不動産,2956.0,44.8,14.8,1.00,なし,22/06/23,2967.5,22/06/27,2891.0,22/06/29,3016.0
2022-06-22,2022/06/23,8802,三菱地所,2011.5,29.0,16.1,1.33,なし,22/06/23,2016.0,22/06/27,1955.0,22/06/29,2027.0
2022-06-22,2022/06/23,8304,あおぞら銀行,2708,14.4,8.8,0.64,なし,22/06/23,2122,22/06/27,2209,22/06/29,2199
2022-06-22,2022/06/23,0000,日経平均株価,26149.55,0,0,0,なし,22/06/23,26171.25,22/06/27,26871.27,22/06/29,26804.60
2022-06-23,2022/06/24,9989,サンドラッグ,2894,-15.1,14.0,1.53,3月末日,22/06/24,2947,22/06/28,3055,22/06/30,3010
2022-06-23,2022/06/24,7649,スギホールディングス,5280,-43.7,18.1,1.53,2月末日,22/06/24,2035,22/06/28,2114,22/06/30,2089
2022-06-23,2022/06/24,2501,サッポロＨＤ,2955,23.0,46.0,1.44,12月末日,22/06/24,5470,22/06/28,5520,22/06/30,5950
2022-06-23,2022/06/24,8267,イオン,2239.0,-33.4,68.9,1.98,2月末日・8月末日,22/06/24,2295.5,22/06/28,2329.0,22/06/30,2354.0
2022-06-23,2022/06/24,3291,飯田ＧＨＤ,2042,-10.6,6.2,0.63,3月末日,22/06/24,2953,22/06/28,2959,22/06/30,3030
2022-06-23,2022/06/24,0000,日経平均株価,26171.25,0,0,0,なし,22/06/24,26491.97,22/06/28,27049.47,22/06/30,26393.04
2022-06-26,2022/06/27,6701,ＮＥＣ,5230,-29.5,12.4,0.94,なし,22/06/27,5370,22/06/29,5510,22/07/01,5460
2022-06-26,2022/06/27,8830,住友不動産,3605.0,43.2,10.7,1.05,なし,22/06/27,2077,22/06/29,2101,22/07/01,2065
2022-06-26,2022/06/27,3291,飯田ＧＨＤ,2035,1.8,6.2,0.63,3月末日,22/06/27,5364,22/06/29,5333,22/07/01,5252
2022-06-26,2022/06/27,3088,マツキヨココ,5380,55.5,21.7,1.64,3月末日・9月末日,22/06/27,4580,22/06/29,4485,22/07/01,4440
2022-06-26,2022/06/27,3382,セブン＆アイ,5324,-80.2,19.6,1.58,なし,22/06/27,5250,22/06/29,5400,22/07/01,5220
2022-06-26,2022/06/27,5332,ＴＯＴＯ,4475,-45.4,18.3,1.87,3月末日,22/06/27,3563.0,22/06/29,3680.0,22/07/01,3505.0
2022-06-26,2022/06/27,0000,日経平均株価,26491.97,0,0,0,なし,22/06/27,26871.27,22/06/29,26804.60,22/07/01,25935.62
2022-06-27,2022/06/28,5233,太平洋セメント,2025,4.3,－,0.46,なし,22/06/28,3175.0,22/06/30,3162.0,22/07/04,3159.0
2022-06-27,2022/06/28,6268,ナブテスコ,3420,29.1,17.5,1.75,なし,22/06/28,2035,22/06/30,2025,22/07/04,1989
2022-06-27,2022/06/28,6005,三浦工業,2808,-45.3,20.9,1.98,なし,22/06/28,2772,22/06/30,2682,22/07/04,2927
2022-06-27,2022/06/28,6586,マキタ,3454.0,-68.6,15.9,1.26,3月末日,22/06/28,3370,22/06/30,3170,22/07/04,3235
2022-06-27,2022/06/28,1925,大和ハウス工業,3122.0,-24.4,9.4,1.01,3月末日,22/06/28,3473.0,22/06/30,3382.0,22/07/04,3388.0
2022-06-27,2022/06/28,0000,日経平均株価,26871.27,0,0,0,なし,22/06/28,27049.47,22/06/30,26393.04,22/07/04,26153.81
2022-06-28,2022/06/29,8725,ＭＳ＆ＡＤ,4217,41.6,9.6,0.71,なし,22/06/29,2388.5,22/07/01,2361.5,22/07/05,2306.0
2022-06-28,2022/06/29,1928,積水ハウス,2371.5,17.5,10.1,1.05,1月末日,22/06/29,3270,22/07/01,3215,22/07/05,3295
2022-06-28,2022/06/29,8830,住友不動産,3644.0,42.3,10.8,1.06,なし,22/06/29,5030,22/07/01,5010,22/07/05,4995
2022-06-28,2022/06/29,6923,スタンレー電気,2310,-23.8,15.0,0.85,なし,22/06/29,2368,22/07/01,2179,22/07/05,2291
2022-06-28,2022/06/29,7912,大日本印刷,2981,7.7,12.0,0.73,なし,22/06/29,2261,22/07/01,2169,22/07/05,2190
2022-06-28,2022/06/29,7272,ヤマハ発動機,2669,-1.0,6.9,1.01,12月末日・6月末日,22/06/29,2128.0,22/07/01,2067.0,22/07/05,2116.5
2022-06-28,2022/06/29,4061,デンカ,3300,-11.9,9.8,0.99,なし,22/06/29,2572,22/07/01,2444,22/07/05,2493
2022-06-28,2022/06/29,7203,トヨタ自動車,2167.5,8.1,13.2,1.13,なし,22/06/29,2966,22/07/01,2874,22/07/05,2815
2022-06-28,2022/06/29,6479,ミネベアミツミ,2414,-30.0,12.9,1.82,なし,22/06/29,4159,22/07/01,4192,22/07/05,4331
2022-06-28,2022/06/29,4403,日油,5100,57.2,16.6,1.88,なし,22/06/29,3016.0,22/07/01,2907.5,22/07/05,2862.0
2022-06-28,2022/06/29,9432,日本電信電話,3967,-0.5,11.8,1.70,3月末日,22/06/29,3680.0,22/07/01,3505.0,22/07/05,3501.0
2022-06-28,2022/06/29,8801,三井不動産,2983.0,48.1,14.9,1.01,なし,22/06/29,3922,22/07/01,3885,22/07/05,3897
2022-06-28,2022/06/29,0000,日経平均株価,27049.47,0,0,0,なし,22/06/29,26804.60,22/07/01,25935.62,22/07/05,26423.47
2022-06-30,2022/07/01,2670,エービーシー・マート,6000,81.4,23.7,1.75,なし,22/07/01,5810,22/07/05,5820,22/07/07,5750
2022-06-30,2022/07/01,9104,商船三井,3105,-82.9,2.2,0.88,3月末日・9月末日,22/07/01,3060,22/07/05,3010,22/07/07,2989
2022-06-30,2022/07/01,0000,日経平均株価,26393.04,0,0,0,なし,22/07/01,25935.62,22/07/05,26423.47,22/07/07,26490.53
2022-07-04,2022/07/05,9104,商船三井,3095,-95.6,2.2,0.88,3月末日・9月末日,22/07/05,3010,22/07/07,2989,22/07/11,3100
2022-07-04,2022/07/05,0000,日経平均株価,26153.81,0,0,0,なし,22/07/05,26423.47,22/07/07,26490.53,22/07/11,26812.30
2022-07-05,2022/07/06,6586,マキタ,3400.0,-34.0,15.6,1.24,3月末日,22/07/06,4055,22/07/08,4160,22/07/12,4190
2022-07-05,2022/07/06,4324,電通グループ,4205,-34.6,12.0,1.29,なし,22/07/06,3430.0,22/07/08,3469.0,22/07/12,3286.0
2022-07-05,2022/07/06,8309,三井住友トラ,4306,68.1,8.4,0.59,なし,22/07/06,4118,22/07/08,4198,22/07/12,4207
2022-07-05,2022/07/06,0000,日経平均株価,26423.47,0,0,0,なし,22/07/06,26107.65,22/07/08,26517.19,22/07/12,26336.66
2022-07-07,2022/07/08,7276,小糸製作所,4375,-98.2,15.3,1.19,なし,22/07/08,4160,22/07/12,4190,22/07/14,4225
2022-07-07,2022/07/08,4324,電通グループ,4165,-30.4,11.9,1.28,なし,22/07/08,5140,22/07/12,5090,22/07/14,5170
2022-07-07,2022/07/08,4403,日油,5150,43.1,16.7,1.90,なし,22/07/08,3550,22/07/12,3525,22/07/14,3475
