登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-06-23,2022/06/24,9989,サンドラッグ,2894,-15.1,14.0,1.53,3月末日
2022-06-23,2022/06/24,7649,スギホールディングス,5280,-43.7,18.1,1.53,2月末日
2022-06-23,2022/06/24,2501,サッポロＨＤ,2955,23.0,46.0,1.44,12月末日
2022-06-23,2022/06/24,8267,イオン,2239.0,-33.4,68.9,1.98,2月末日・8月末日
2022-06-23,2022/06/24,3291,飯田ＧＨＤ,2042,-10.6,6.2,0.63,3月末日
2022-06-23,2022/06/24,0000,日経平均株価,26171.25,0,0,0,なし
