登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-06-06,2022/06/07,4061,デンカ,3265,-34.0,9.7,0.98,なし
2022-06-06,2022/06/07,0000,日経平均株価,27915.89,0,0,0,なし
